stid,name,lat,lon,date_time,wind_speed,wind_direction
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T06:10:00Z,3.575,254.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T06:20:00Z,1.79,213.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T06:40:00Z,0.895,272.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T06:50:00Z,1.79,350.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:00:00Z,2.233,327.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:10:00Z,1.343,269.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:20:00Z,0.895,5.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:30:00Z,3.128,310.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:40:00Z,0.895,275.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T07:50:00Z,3.128,271.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:00:00Z,1.343,263.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:10:00Z,3.128,244.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:20:00Z,0.895,251.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:30:00Z,1.79,260.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:40:00Z,2.68,225.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T08:50:00Z,2.233,250.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:00:00Z,2.233,240.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:10:00Z,0.448,260.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:20:00Z,1.79,249.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:30:00Z,3.128,225.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:40:00Z,1.79,278.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T09:50:00Z,3.575,244.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T10:10:00Z,3.575,255.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T10:20:00Z,2.233,315.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T10:30:00Z,4.023,254.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T10:40:00Z,1.79,229.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T10:50:00Z,4.023,207.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:00:00Z,2.233,235.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:10:00Z,1.79,265.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:20:00Z,1.79,290.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:30:00Z,1.343,302.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:40:00Z,3.575,246.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T11:50:00Z,1.343,248.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:00:00Z,1.79,298.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:10:00Z,4.918,288.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:20:00Z,1.343,270.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:30:00Z,1.343,277.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:40:00Z,2.233,241.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T12:50:00Z,1.343,327.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:00:00Z,1.343,267.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:10:00Z,2.233,300.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:20:00Z,2.233,307.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:30:00Z,2.233,235.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:40:00Z,1.79,221.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T13:50:00Z,2.68,226.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:00:00Z,1.343,229.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:10:00Z,3.128,299.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:20:00Z,1.79,269.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:30:00Z,3.575,239.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:40:00Z,1.79,280.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T14:50:00Z,4.023,263.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:00:00Z,2.68,266.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:10:00Z,1.343,261.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:20:00Z,2.233,252.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:30:00Z,0.0,0.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:40:00Z,1.343,263.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T15:50:00Z,2.68,279.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T16:00:00Z,1.79,296.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T17:10:00Z,1.343,330.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T17:20:00Z,5.366,243.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T17:30:00Z,2.233,252.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T17:40:00Z,1.79,273.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T17:50:00Z,1.343,281.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:00:00Z,0.0,0.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:10:00Z,2.233,254.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:20:00Z,5.813,226.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:30:00Z,3.128,260.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:40:00Z,2.233,238.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T18:50:00Z,3.575,253.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:00:00Z,1.343,286.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:10:00Z,2.233,232.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:20:00Z,3.575,290.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:30:00Z,3.128,251.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:40:00Z,1.343,280.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T19:50:00Z,3.575,310.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:00:00Z,0.895,226.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:10:00Z,0.895,313.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:20:00Z,3.128,262.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:30:00Z,1.79,267.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:40:00Z,0.448,281.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T20:50:00Z,2.68,314.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:00:00Z,4.918,248.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:10:00Z,1.79,340.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:20:00Z,3.128,245.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:30:00Z,3.575,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:40:00Z,0.895,292.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T21:50:00Z,2.68,324.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:00:00Z,4.471,278.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:10:00Z,3.575,313.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:20:00Z,2.233,355.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:30:00Z,1.79,328.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:40:00Z,2.233,312.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T22:50:00Z,4.918,304.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:00:00Z,3.575,311.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:10:00Z,1.343,314.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:20:00Z,2.233,290.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:30:00Z,1.343,319.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:40:00Z,1.79,325.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-02T23:50:00Z,2.68,277.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:00:00Z,3.575,301.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:10:00Z,1.343,347.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:20:00Z,0.895,303.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:30:00Z,1.343,316.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:40:00Z,1.343,313.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T00:50:00Z,1.79,317.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T01:00:00Z,1.343,323.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T01:10:00Z,0.895,281.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T01:20:00Z,0.895,313.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T01:30:00Z,0.448,296.0
0512W,Hofstra University South Campus,40.71308,-73.59826,2026-01-03T01:40:00Z,0.0,0.0
